news_title,news_category,created_at,scrapped_at,url,image
3 Jajanan Lokal Filipina yang Perlu Kamu Coba,FOOD,07-09-2024,2024-09-08 07:04:12,https://www.kompas.com/food/read/2024/09/07/193835275/3-jajanan-lokal-filipina-yang-perlu-kamu-coba,https://asset.kompas.com/crops/ZV8bGjA4R0TXNshY_Ce4arSbM-I=/0x54:1600x1121/230x152/data/photo/2024/09/07/66dc41dfc9961.jpeg
"Prabowo Lanjut Temui Raja Malaysia Setelah Kunker ke Thailand, Laos, hingga Brunei Darussalam",NEWS,07-09-2024,2024-09-08 07:04:13,https://nasional.kompas.com/read/2024/09/07/19312291/prabowo-lanjut-temui-raja-malaysia-setelah-kunker-ke-thailand-laos-hingga,https://asset.kompas.com/crops/oVihxhnMLaJhqUiU9pxFU3ZXMX4=/0x0:5254x3503/230x152/data/photo/2024/09/07/66dc457248f81.jpg
"Italia Jebol dalam 13 Detik, Donnarumma Belum Kelar Pakai Sarung Tangan",BOLA,07-09-2024,2024-09-08 07:04:13,https://bola.kompas.com/read/2024/09/07/19301598/italia-jebol-dalam-13-detik-donnarumma-belum-kelar-pakai-sarung-tangan,https://asset.kompas.com/crops/_QTHhzAuNZEbhvpJmGAdueMp5Ls=/102x2:828x486/230x152/data/photo/2024/09/07/66dc42b799e71.jpg
"Warganet Keluhkan Suhu Panas hingga Malam Hari, Berlangsung sampai Kapan?",TREN,07-09-2024,2024-09-08 07:04:14,https://www.kompas.com/tren/read/2024/09/07/193000965/warganet-keluhkan-suhu-panas-hingga-malam-hari-berlangsung-sampai-kapan-,https://asset.kompas.com/crops/k5tOFXkFrnnNs-KCRch56hYyVew=/0x347:1125x1097/230x152/data/photo/2024/09/07/66dc203237ae3.jpeg
Anak Pemilik Panti Asuhan Jadi Tersangka Dugaan Penganiayaan Santri Anak,REGIONAL,07-09-2024,2024-09-08 07:04:14,https://surabaya.kompas.com/read/2024/09/07/192710378/anak-pemilik-panti-asuhan-jadi-tersangka-dugaan-penganiayaan-santri-anak,https://asset.kompas.com/crops/3Scs7jkdmflcgIeMVcb51u7yO_4=/0x0:0x0/230x152/data/photo/2024/09/07/66dc3df59dc55.jpg
"PON XXI 2024 Aceh-Sumut Pemkot, Medan Tampilkan Produk UMKM Khas",UMKM,07-09-2024,2024-09-08 07:04:15,https://umkm.kompas.com/read/2024/09/07/192643283/pon-xxi-2024-aceh-sumut-pemkot-medan-tampilkan-produk-umkm-khas,https://asset.kompas.com/crops/wdsF7qc4OxmHng9um89__Gk4mLE=/0x0:0x0/230x152/data/photo/2024/09/07/66dc45aa7436f.jpeg
Terjangan Topan Super Yagi Mulai Sebabkan Korban Jiwa di Vietnam,GLOBAL,07-09-2024,2024-09-08 07:04:15,https://www.kompas.com/global/read/2024/09/07/192235570/terjangantopan-super-yagi-mulai-sebabkan-korban-jiwa-di-vietnam,https://asset.kompas.com/crops/wmpGWQbvT88a5_6Qh-6gS6DfK5Y=/1x0:1024x682/230x152/data/photo/2024/09/07/66dc44a84de2e.jpg
"Blora Culture Festival 2024, Bupati dan Forkopimda ""Nayub"" Bersama 3.000 Penari",REGIONAL,07-09-2024,2024-09-08 07:04:16,https://regional.kompas.com/read/2024/09/07/191613478/blora-culture-festival-2024-bupati-dan-forkopimda-nayub-bersama-3000-penari,https://asset.kompas.com/crops/CXp_lhQJ4WAskRkRkOd-yIX7SQo=/0x0:1599x1066/230x152/data/photo/2024/09/07/66dc365098708.jpg
"162 Game Baru September 2024, Ada ""Zelda"" dan ""EA Sports FC 25""",TEKNO,07-09-2024,2024-09-08 07:04:17,https://tekno.kompas.com/read/2024/09/07/19070067/162-game-baru-september-2024-ada-zelda-dan-ea-sports-fc-25-,https://asset.kompas.com/crops/bC2FjMOAVBd_umrfJTpbs70IBpc=/84x0:819x490/230x152/data/photo/2024/09/04/66d7cb3133c4a.png
"Isu Gempa Megatrhrust, Banyak Wisatawan Batalkan Pesanan di Restoran Gunungkidul",TRAVEL,07-09-2024,2024-09-08 07:04:17,https://travel.kompas.com/read/2024/09/07/190700127/isu-gempa-megatrhrust-banyak-wisatawan-batalkan-pesanan-di-restoran,https://asset.kompas.com/crops/BoFisRJPwJkIjAtKpjbeLNVecC8=/0x0:0x0/230x152/data/photo/2022/05/24/628ca45073add.jpg
